"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"1118",5090,0,1,1,"preeclampsia_vs_PretermControls","cmap","fluspirilene",8.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","906","Fluspirilen [1841-19-6]","C0016383","1841-19-6","DB04842",1
"1119",5104,0.0898408326684663,0.16348,0.349904561403509,"preeclampsia_vs_PretermControls","cmap","promethazine",1.24e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","888","Promethazine hydrochloride [58-33-3]","C0772132","58-33-3","DB01069",1
"1120",5110,0,1,1,"preeclampsia_vs_PretermControls","cmap","timolol",9.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","948","Timolol maleate salt [26921-17-5]","C0724707","26921-17-5","DB00373",1
"1121",5111,0,1,1,"preeclampsia_vs_PretermControls","cmap","ursodeoxycholic acid",1.02e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","958","Urosiol [128-13-2]","NULL","128-13-2","DB01586",1
"1122",5117,0.0991379995568658,0.0924,0.221122008630836,"preeclampsia_vs_PretermControls","cmap","adipiodone",3.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","939","Iodipamide [606-17-7]","NULL","606-17-7","DB04711",1
"1123",5119,0.13031769380748,0.00696,0.0304781048097631,"preeclampsia_vs_PretermControls","cmap","proxymetacaine",1.2e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","959","Proparacaine hydrochloride [5875-06-9]","NULL","5875-06-9","DB00807",1
"1124",5128,0.109327023803728,0.04364,0.123442280945758,"preeclampsia_vs_PretermControls","cmap","aminocaproic acid",3.04e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","960","Aminocaproic acid [60-32-2]","APRD00791","60-32-2","DB00513",1
"1125",5130,0.106964179319011,0.05268,0.143193763919822,"preeclampsia_vs_PretermControls","cmap","remoxipride",9.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","971","Remoxipride Hydrochloride [73220-03-8]","C0771022","73220-03-8","DB00409",1
"1126",5174,-0.119398350864956,0.01906,0.0651715246636771,"preeclampsia_vs_PretermControls","cmap","alprostadil",1e-05,6,"PC3","HT_HG-U133A","DMSO","Sigma-Aldrich","P5515","Prostaglandin E1","C0002335","NULL","DB00770",1
"1127",5178,-0.112211743322599,0.03485,0.103347107438017,"preeclampsia_vs_PretermControls","cmap","alprostadil",1e-05,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","P5515","Prostaglandin E1","C0002335","NULL","DB00770",1
"1128",5196,0,1,1,"preeclampsia_vs_PretermControls","cmap","liothyronine",6.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","853","Liothyronine [6893-02-3]","C0041014","6893-02-3","DB00279",1
"1129",5200,0,1,1,"preeclampsia_vs_PretermControls","cmap","omeprazole",1.16e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","493","Omeprazole [73590-58-6]","C0771765","73590-58-6","DB00338",1
"1130",5201,0.121573782349545,0.016,0.0575811209439528,"preeclampsia_vs_PretermControls","cmap","benzthiazide",9.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","824","Benzthiazide [91-33-8]","C0053245","91-33-8","DB00562",1
"1131",5204,-0.114439668662758,0.02915,0.0899873481781377,"preeclampsia_vs_PretermControls","cmap","carisoprodol",1.54e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","423","Carisoprodol [78-44-4]","C0007248","78-44-4","DB00395",1
"1132",5208,0,1,1,"preeclampsia_vs_PretermControls","cmap","apramycin",7.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","1005","Apramycin [37321-09-8]","NULL","37321-09-8","DB04626",1
"1133",5209,0.149689292677587,0.00091,0.00626523702031603,"preeclampsia_vs_PretermControls","cmap","miconazole",9.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","67","Miconazole [22916-47-8]","MMS_579","22916-47-8","DB01110",1
"1134",5236,0,1,1,"preeclampsia_vs_PretermControls","cmap","doxazosin",7.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","858","Doxazosin mesylate [77883-43-3]","C0077770","77883-43-3","DB00590",1
"1135",5238,0.115520760574697,0.02674,0.0843838592860838,"preeclampsia_vs_PretermControls","cmap","methapyrilene",1.34e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","342","Methapyrilene hydrochloride [135-23-9]","C0025625","135-23-9","DB04819",1
"1136",5239,0,1,1,"preeclampsia_vs_PretermControls","cmap","glipizide",9e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","131","Glipizide [29094-61-9]","C0017642","29094-61-9","DB01067",1
"1137",5240,0.135773370281059,0.00402,0.0201330049261084,"preeclampsia_vs_PretermControls","cmap","progesterone",1.28e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","477","Progesterone [57-83-0]","C0873071","57-83-0","DB00396",1
"1138",5241,0.106290452973951,0.05536,0.148307422046552,"preeclampsia_vs_PretermControls","cmap","estrone",1.48e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","914","Estrone [53-16-7]","C0014942","53-16-7","DB00655",1
